devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC,dt_offset,synch_dev_time
BR603,0.024906062882443014,0.2938841746131004,-248,-0.96875,20481,81.92399999980907,7.747999999981943,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1869c0fd0>, <matplotlib.lines.Line2D object at 0x1869c0f10>)",2023-02-15 10:25:54.031250+00:00,2023-02-15 10:25:25.604250+00:00
VN107,0.08498460997885818,,-4175,,20481,81.92399999980907,-16.69999999996108,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x188d04730>, <matplotlib.lines.Line2D object at 0x188d04670>)",,
PC702,0.17222358562217316,0.43479955619511906,-23,-0.08984375,20481,81.92399999980907,-0.8479999999980237,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x18b044610>, <matplotlib.lines.Line2D object at 0x18b044550>)",2023-02-15 10:25:54.910156250+00:00,2023-02-15 10:25:26.483156250+00:00
VA304,0.025718201852312213,0.3632161198977576,-158,-0.6319999999985271,20481,81.92399999980907,-0.6319999999985271,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x18d381b20>, <matplotlib.lines.Line2D object at 0x18d381a60>)",,2023-02-15 10:25:25.941000+00:00
PC701,0.016629521518497014,0.5648280045836623,-140,-0.5599999999986949,20481,81.92399999980907,-0.5599999999986949,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x18f6cd5b0>, <matplotlib.lines.Line2D object at 0x18f6cd4f0>)",,2023-02-15 10:25:26.013000+00:00
PC707,0.05722169017212482,0.15923603536395528,-330,-1.2890625,20481,81.92399999980907,6.663999999984469,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1919ecd00>, <matplotlib.lines.Line2D object at 0x1919ecc40>)",2023-02-15 10:25:53.710937500+00:00,2023-02-15 10:25:25.283937500+00:00
WW503,0.005437104573954095,0.2319341401712025,-35,-0.13671875,20481,81.92399999980907,8.583999999979994,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x193d39160>, <matplotlib.lines.Line2D object at 0x193d390a0>)",2023-02-15 10:25:54.863281250+00:00,2023-02-15 10:25:26.436281250+00:00
WW504,0.007166790402878211,0.5452855309138052,-51,-0.20399999999952456,20481,81.92399999980907,-0.20399999999952456,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x19606cc70>, <matplotlib.lines.Line2D object at 0x19606cbb0>)",,2023-02-15 10:25:26.369000+00:00
VN101,0.1487234999017247,0.4893640278795154,177,0.70799999999835,20481,81.92399999980907,0.70799999999835,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1983b91c0>, <matplotlib.lines.Line2D object at 0x1983b9100>)",,2023-02-15 10:25:27.281000+00:00
VN102,0.019519481209842426,0.485025689351341,21,0.08399999999980423,20481,81.92399999980907,0.08399999999980423,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x19a6f7790>, <matplotlib.lines.Line2D object at 0x19a6f76d0>)",,2023-02-15 10:25:26.657000+00:00
BR607,0.00516909563737328,0.2831462325216635,-94,-0.3671875,20481,81.92399999980907,-1.1439999999973338,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x19ca37af0>, <matplotlib.lines.Line2D object at 0x19ca37a30>)",2023-02-15 10:25:54.632812500+00:00,2023-02-15 10:25:26.205812500+00:00
VN202,0.07998246050908249,,-2521,,20481,81.92399999980907,-10.083999999976498,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x19ed776a0>, <matplotlib.lines.Line2D object at 0x19ed775e0>)",,
VN206,0.023890680850587157,0.3883930984573573,-151,-0.58984375,20481,81.92399999980907,8.167999999980964,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1a10ba280>, <matplotlib.lines.Line2D object at 0x1a10ba1c0>)",2023-02-15 10:25:54.410156250+00:00,2023-02-15 10:25:25.983156250+00:00
LS407,0.006225019885244323,0.414142353365587,98,0.3919999999990864,20481,81.92399999980907,0.3919999999990864,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1a33fc070>, <matplotlib.lines.Line2D object at 0x1a33eef70>)",,2023-02-15 10:25:26.965000+00:00
